item,label,date,platforms,countryOfOrigin,mobygames_id
http://www.wikidata.org/entity/Q19579878,Bertie the Brain,1950,,,87640
http://www.wikidata.org/entity/Q1974600,Nimrod,1951,http://www.wikidata.org/.well-known/genid/0df9472c8c54094ad9c6c4d2fdb574e9,United Kingdom,87511
http://www.wikidata.org/entity/Q731466,OXO,1952,Electronic Delay Storage Automatic Calculator,United Kingdom,89187
http://www.wikidata.org/entity/Q858294,Tennis for Two,1958,Donner Model 30,United States of America,88305
http://www.wikidata.org/entity/Q111584661,Mouse in the Maze,1959,mainframe computer,,89585
http://www.wikidata.org/entity/Q4155027,Darwin,1961,IBM 7090,United States of America,100377
http://www.wikidata.org/entity/Q64944926,Marienbad,1962,"mainframe computer,Odra 1003",Poland,114131
http://www.wikidata.org/entity/Q782919,Spacewar!,1962,"Microsoft Windows,mainframe computer,PDP-1",United States of America,89701
http://www.wikidata.org/entity/Q5157436,Computer Football Strategy,1966,Commodore 64,United States of America,48379
http://www.wikidata.org/entity/Q111673930,Baseball,1967,mainframe computer,,90784
http://www.wikidata.org/entity/Q5124608,Civil War,1968,mainframe computer,,8703
http://www.wikidata.org/entity/Q1646143,Hamurabi,1969,HP 3000,United States of America,22232
http://www.wikidata.org/entity/Q55936714,Lunar,1969,mainframe computer,,89874
http://www.wikidata.org/entity/Q595334,Space Travel,1969,"Multics,PDP-7,General Comprehensive Operating System",United States of America,89858
http://www.wikidata.org/entity/Q122312757,Aeve:Zero Gravity,1970,"Linux,Microsoft Windows,macOS",,106527
http://www.wikidata.org/entity/Q111674016,Rocket,1970,Wang 2200,,89875
http://www.wikidata.org/entity/Q1574053,The Oregon Trail,1971,"Mac OS operating systems,Commodore 64,DOS,Apple II series,Atari 8-bit family,HP 2100,Classic Mac OS",United States of America,746
http://www.wikidata.org/entity/Q662253,Star Trek,1971,"Linux,DOS,mainframe computer",United States of America,91183
http://www.wikidata.org/entity/Q1122324,Computer Space,1971,arcade video game machine,United States of America,63345
http://www.wikidata.org/entity/Q386386,Galaxy Game,1971,arcade video game machine,United States of America,63111
http://www.wikidata.org/entity/Q56042289,Table Tennis,1972,Odyssey,,25109
http://www.wikidata.org/entity/Q216293,Pong,1972,arcade video game machine,United States of America,64135
http://www.wikidata.org/entity/Q123498393,Soccer,1972,Odyssey,,38316
http://www.wikidata.org/entity/Q52685075,Invasion,1972,Odyssey,,38306
http://www.wikidata.org/entity/Q1638078,Hunt the Wumpus,1973,"mainframe computer,Texas Instruments TI-99/4A",United States of America,"16103,63723"
http://www.wikidata.org/entity/Q6521381,Lemonade Stand,1973,Apple II series,United States of America,24035
http://www.wikidata.org/entity/Q7837934,Trek73,1973,"DOS,mainframe computer",United States of America,91294
http://www.wikidata.org/entity/Q4039627,Gotcha,1973,arcade video game machine,United States of America,65888
http://www.wikidata.org/entity/Q2006880,Space Race,1973,"arcade video game machine,Atari",United States of America,65832
http://www.wikidata.org/entity/Q16267549,Mugwump,1973,BASIC,United States of America,62756
http://www.wikidata.org/entity/Q106591441,Winner,1973,arcade video game machine,,104553
http://www.wikidata.org/entity/Q7600947,Star Trader,1974,ZX Spectrum,United States of America,102504
http://www.wikidata.org/entity/Q2123733,Qwak!,1974,arcade video game machine,United States of America,66598
http://www.wikidata.org/entity/Q264530,Spasim,1974,mainframe computer,United States of America,100356
http://www.wikidata.org/entity/Q1431857,Tank,1974,arcade video game machine,United States of America,67307
http://www.wikidata.org/entity/Q1387759,Maze War,1974,mainframe computer,United States of America,100370
http://www.wikidata.org/entity/Q7302193,Rebound,1974,arcade video game machine,United States of America,67305
http://www.wikidata.org/entity/Q1341807,Gran Trak 10,1974,arcade video game machine,United States of America,66288
http://www.wikidata.org/entity/Q3980882,Tank II,1974,arcade video game machine,,71017
http://www.wikidata.org/entity/Q7261576,Pursuit,1975,arcade video game machine,United States of America,67308
http://www.wikidata.org/entity/Q5750287,Hi-way,1975,arcade video game machine,United States of America,70327
http://www.wikidata.org/entity/Q1431716,Whac-A-Mole,1975,Nintendo DS,Japan,25840
http://www.wikidata.org/entity/Q7605932,Steeplechase,1975,Atari 2600,United States of America,24936
http://www.wikidata.org/entity/Q992485,Shark Jaws,1975,arcade video game machine,United States of America,71077
http://www.wikidata.org/entity/Q1432978,Gun Fight,1975,arcade video game machine,"Japan,United States of America",63990
http://www.wikidata.org/entity/Q6188835,Jet Fighter,1975,Atari 2600,United States of America,70333
http://www.wikidata.org/entity/Q4774098,Anti-Aircraft,1975,arcade video game machine,United States of America,67700
http://www.wikidata.org/entity/Q6028267,Indy 800,1975,arcade video game machine,United States of America,71015
http://www.wikidata.org/entity/Q16743240,Destruction Derby,1975,arcade video game machine,United States of America,106980
http://www.wikidata.org/entity/Q287985,dnd,1975,PLATO,United States of America,116361
http://www.wikidata.org/entity/Q5465225,Fonz,1976,arcade video game machine,Japan,92430
http://www.wikidata.org/entity/Q379904,Colossal Cave Adventure,1976,"Unix-like operating system,Commodore 64,mainframe computer,PDP-10",United States of America,"30153,83707"
http://www.wikidata.org/entity/Q177491,Breakout,1976,"Microsoft Windows,iOS,arcade video game machine,Atari 2600,Atari 5200,Dynavision",United States of America,9001
http://www.wikidata.org/entity/Q474102,Night Driver,1976,"Commodore 64,Atari 2600",United States of America,9750
http://www.wikidata.org/entity/Q7272706,Quiz Show,1976,,United States of America,72133
http://www.wikidata.org/entity/Q2885602,Barricade,1976,arcade video game machine,United States of America,80351
http://www.wikidata.org/entity/Q4927225,Blockade,1976,arcade video game machine,United States of America,80291
http://www.wikidata.org/entity/Q4906838,Bigfoot Bonkers,1976,arcade video game machine,United States of America,83295
http://www.wikidata.org/entity/Q7683580,Tanktics: Computer Game of Armored Combat on the Eastern Front,1976,"Atari 8-bit family,TRS-80 Model I,Commodore PET,Apple II",United States of America,14776
http://www.wikidata.org/entity/Q840560,Death Race,1976,arcade video game machine,United States of America,64102
http://www.wikidata.org/entity/Q7440048,Sea Wolf,1976,"Commodore 64,Commodore VIC-20",United States of America,31303
http://www.wikidata.org/entity/Q6028256,Indy 4,1976,arcade video game machine,United States of America,71024
